date,max_temp,min_temp
2021-08-01,24.9,8.9
2021-08-02,20.0,11.7
2021-08-03,21.3,8.0
2021-08-04,22.3,7.9
2021-08-05,22.0,7.7
2021-08-06,13.1,6.0
2021-08-07,12.9,3.1
2021-08-08,12.9,4.2
2021-08-09,18.4,2.4
2021-08-10,15.5,8.6
2021-08-11,18.3,7.8
2021-08-12,21.6,3.9
2021-08-13,24.2,4.8
2021-08-14,22.9,8.5
2022-08-01,18.5,7.6
2022-08-02,16.6,5.0
2022-08-03,12.4,6.6
2022-08-04,10.3,3.3
2022-08-05,11.2,2.4
2022-08-06,17.6,0.2
2022-08-07,20.4,3.9
2022-08-08,20.5,6.1
2022-08-09,22.6,3.4
2022-08-10,24.4,6.5
2022-08-11,18.2,8.9
2022-08-12,21.2,6.0
2022-08-13,19.8,6.6
2022-08-14,17.9,4.3
2023-08-01,18.0,3.8
2023-08-02,16.0,3.2
2023-08-03,18.4,1.5
2023-08-04,17.2,1.6
2023-08-05,18.6,2.1
2023-08-06,19.7,4.1
2023-08-07,18.6,5.1
2023-08-08,12.9,6.5
2023-08-09,13.6,6.2
2023-08-10,12.5,4.1
2023-08-11,12.1,1.0
2023-08-12,15.5,4.1
2023-08-13,22.5,3.8
2023-08-14,22.7,6.4
2024-08-01,21.6,6.1
2024-08-02,23.2,5.0
2024-08-03,22.1,7.7
2024-08-04,19.4,5.7
2024-08-05,11.1,7.1
2024-08-06,10.4,3.5
2024-08-07,14.8,2.9
2024-08-08,17.3,2.2
2024-08-09,19.7,4.1
2024-08-10,19.1,5.2
2024-08-11,19.5,5.2
2024-08-12,16.8,5.6
2024-08-13,17.7,4.7
2024-08-14,19.4,6.4
2025-08-01,20.3,7.5
2025-08-02,17.1,8.3
2025-08-03,18.8,7.2
2025-08-04,15.5,5.6
2025-08-05,17.0,4.2
2025-08-06,15.0,6.2
2025-08-07,9.9,3.7
2025-08-08,15.6,6.1
2025-08-09,17.4,4.5
2025-08-10,19.1,7.7
2025-08-11,18.6,6.5
2025-08-12,18.3,5.4
2025-08-13,12.0,4.3
2025-08-14,13.6,3.4
